[Name],,
BLD GEO HIGH,,
,,
[Data],,
Radius [ m ], theta [ degree ], X [ m ]
0.191042021,-3.398924589,0.010728726
0.191267878,-3.004447699,0.011938916
0.191503525,-2.596838713,0.013190097
0.191755563,-2.177622795,0.014490826
0.192023918,-1.74963665,0.015846841
0.19230403,-1.316655517,0.017249469
0.192583397,-0.876033485,0.018693915
0.192833647,-0.423463523,0.020188743
0.193089604,0.031901691,0.021724412
0.193339914,0.479049891,0.023287687
0.193568721,0.914343894,0.024850186
0.193786487,1.326783299,0.026382281
0.193984151,1.708467484,0.027864397
0.194157273,2.062769413,0.029277673
0.19255738,-6.396422863,0.00137549
0.19259955,-6.282197952,0.00174396
0.19265911,-6.125215054,0.00224987
0.192735553,-5.928879738,0.002878521
0.192826822,-5.697481155,0.003617769
0.192931592,-5.434068203,0.004447654
0.193061575,-5.143629551,0.005355487
0.193201691,-4.829016685,0.006329354
0.193353653,-4.495420933,0.007355704
0.193513155,-4.146374702,0.008428722
0.193685234,-3.784929752,0.009541158
0.193865001,-3.411176205,0.010692712
0.194059849,-3.025748253,0.011879064
0.194263324,-2.62760067,0.01310379
0.194481522,-2.218004704,0.014375591
0.194714367,-1.799314499,0.015698139
0.194957808,-1.375079989,0.017063629
0.195200309,-0.943097055,0.018469557
0.195414647,-0.499570668,0.019921271
0.195633888,-0.052361686,0.02141157
0.19584766,0.388318419,0.022927102
0.196041629,0.818851173,0.024445141
0.196225375,1.231151581,0.025929624
0.196390703,1.614808321,0.027375843
0.196533248,1.973828673,0.028762829
0.195568919,-6.34122324,0.001525694
0.195603386,-6.228727341,0.001889347
0.195652381,-6.07446909,0.002387363
0.195715696,-5.881950378,0.00300448
0.195791513,-5.655371666,0.003728612
0.195878744,-5.397642136,0.004540395
0.195988357,-5.113598347,0.00542783
0.196106583,-4.805892944,0.006378799
0.196235165,-4.479567528,0.007381536
0.19637017,-4.138150215,0.008430542
0.19651635,-3.784223557,0.009518187
0.196669385,-3.418131351,0.010643684
0.19683595,-3.040737391,0.011803114
0.197010174,-2.650811434,0.012998948
0.197197586,-2.249662876,0.014238948
0.197398022,-1.839351416,0.015526256
