[Name],,
BLD GEO HIGH,,
,,
[Data],,
Radius [ m ], theta [ degree ], X [ m ]
0.180063277,-4.20215416,0.00845244
0.18037416,-3.799975395,0.009668986
0.180698171,-3.38452673,0.010927723
0.181045488,-2.956946373,0.012226628
0.181407213,-2.513883591,0.013569901
0.181791827,-2.060117245,0.014980512
0.182198822,-1.59940207,0.016465399
0.182622045,-1.13571465,0.018007779
0.183045268,-0.663873196,0.019594876
0.183436364,-0.181394473,0.021249834
0.183836579,0.297965735,0.022967724
0.184229985,0.762079239,0.024718694
0.18459551,1.20637548,0.0264633
0.184946224,1.614437819,0.028172327
0.185269102,1.980672717,0.029798264
0.185560331,2.306362152,0.031325314
0.178409323,-6.705494404,0.000787724
0.178491682,-6.582002163,0.001176108
0.178606555,-6.41053915,0.00171538
0.178752124,-6.193423271,0.002391459
0.178924814,-5.935883999,0.003193327
0.179122224,-5.641273975,0.00409716
0.179359943,-5.315570354,0.005086337
0.179615989,-4.963040829,0.00615172
0.17989181,-4.590339661,0.007276456
0.180181175,-4.201288223,0.008451479
0.180490747,-3.799474955,0.009667126
0.180813462,-3.384397984,0.010924936
0.181159377,-2.95718956,0.012222848
0.181519628,-2.514524221,0.013565088
0.181902736,-2.061136723,0.014974426
0.182308123,-1.600772858,0.016457824
0.182729676,-1.137414932,0.017998623
0.183151245,-0.665898979,0.019584078
0.183540732,-0.183724463,0.021237146
0.183939263,0.295407563,0.022952901
0.184331015,0.759363115,0.024701754
0.184694946,1.20364964,0.026444122
0.185044125,1.611867428,0.028151002
0.185365573,1.978365541,0.029775223
0.18565543,2.30444932,0.031300943
0.178583369,-6.701098442,0.000793783
0.178665206,-6.577724934,0.001181931
0.178779349,-6.406445503,0.001720804
0.178924039,-6.189593315,0.002396313
0.179095656,-5.932384968,0.003197428
0.179291889,-5.638170242,0.004100359
0.179528192,-5.31291151,0.005088554
0.179782748,-4.960858345,0.006152827
0.180056959,-4.588648796,0.007276373
0.180344611,-4.200100422,0.008450169
0.18065244,-3.798792839,0.009664565
0.180973291,-3.384231806,0.010921095
0.181317285,-2.957538128,0.012217627
0.181675509,-2.515423059,0.013558438
0.182056487,-2.062561989,0.014966017
0.182459667,-1.602685332,0.01644735
0.182878941,-1.139785051,0.017985959
0.183298215,-0.668721914,0.019569147
0.183685437,-0.186969027,0.021219591
0.184081659,0.291844875,0.022932392
