R,Rho,Trr,Trt,Trz,Ttt,Tzt,Tzz,Z,Lamda
0.197076917,1.01820755,78965.7188,136.62439,3224.6377,78907.8438,203.062195,119297.93,-0.0012246496,1
0.197709993,1.01872849,78964.5078,125.857147,3116.78882,78902.0625,186.460236,119367.734,-0.00127852615,1
0.198343456,1.01918626,78961.3125,115.729202,3012.11963,78895.3047,173.186798,119432.938,-0.00132964319,1
0.198979646,1.01937056,78930.1328,103.819916,2912.04224,78859.4375,157.038269,119490.461,-0.00137619185,1
0.199615225,1.01946926,78892.0313,92.6392365,2813.18848,78818.4297,140.751175,119548.953,-0.00142064411,1
0.200249791,1.01963377,78864.4688,83.596077,2714.19287,78790.2656,128.678452,119612.672,-0.00146501022,1
0.20088473,1.01977682,78836.0781,75.6242981,2614.43262,78762.1719,117.08107,119677.805,-0.00150913489,1
0.201520264,1.01978266,78793.8125,67.5676651,2513.85156,78721.1563,104.788345,119745.594,-0.00154972775,1
0.202156335,1.01959372,78731.2344,59.1834335,2411.73584,78661.5625,89.8022995,119813.656,-0.00158601999,1
0.20279184,1.01931691,78660.5313,51.2724457,2308.32471,78594.25,72.7771988,119877.586,-0.00162125402,1
0.203426808,1.01911902,78600.1719,44.5547562,2205.05396,78537.625,57.1090851,119941.797,-0.0016564508,1
0.204062074,1.01895928,78545.6563,38.8200684,2101.03931,78487.6328,42.4957428,120006.484,-0.00169087551,1
0.204697818,1.01869726,78485.0469,33.4508362,1993.98633,78431.7656,29.4506493,120059.297,-0.00172129972,1
0.205333754,1.01839805,78425.2969,28.5584946,1884.76367,78377.0469,19.5533409,120103.297,-0.00174813892,1
0.205971569,1.01819634,78377.5625,24.5413589,1775.40015,78334.6016,10.3385553,120147.078,-0.0017746808,1
0.206608519,1.01802135,78333.6484,20.9995613,1665.97656,78295.8125,1.19408512,120191.359,-0.00180117588,1
0.207242548,1.01781726,78288.4531,17.8446178,1555.16382,78255.625,-6.90496922,120235.234,-0.00182599388,1
0.207878053,1.01756632,78240.7031,15.1084881,1440.63623,78213.0469,-13.4864922,120277.344,-0.00184662454,1
0.208513603,1.01726282,78188.9531,12.6607113,1323.94165,78166.4844,-19.4881668,120319.266,-0.00186452502,1
0.209150672,1.01691437,78133.3984,10.462677,1205.97632,78115.6875,-26.1786785,120360.836,-0.00188240502,1
0.209787786,1.01656508,78078.9844,8.57711983,1087.09631,78065.6172,-32.4611969,120402.703,-0.00190024544,1
0.210421771,1.01625681,78031.1719,7.00639439,966.003723,78021.9219,-37.2331009,120440.336,-0.00191521738,1
0.211056665,1.01596069,77987.5313,5.7256341,840.071289,77982.2813,-40.8933029,120469.531,-0.001925661,1
0.211691186,1.0156728,77946.5938,4.62575531,712.37439,77944.8594,-43.7828979,120495.469,-0.00193431205,1
0.212323159,1.01539254,77907.2813,3.68017578,584.90564,77908.3438,-46.9180565,120521.289,-0.00194291887,1
0.212955773,1.01510501,77868.0156,2.8870306,456.731812,77871.2188,-50.6203613,120546.141,-0.00195125048,1
0.213590533,1.01486611,77836.5313,2.28911924,327.249634,77841.2813,-52.5552673,120564.633,-0.00195619138,1
0.214225709,1.01465321,77810.4375,1.87120748,196.514069,77816.1719,-53.9227142,120573.516,-0.0019571241,1
0.214862317,1.01444852,77786.3906,1.53475392,65.3343658,77792.3906,-55.1211891,120580.703,-0.00195717812,1
0.215499774,1.01425064,77763.9844,1.26040637,-65.9824905,77769.4219,-56.1240578,120588.156,-0.0019572326,1
0.216136187,1.01406038,77743.4297,1.05829823,-197.162842,77747.5234,-57.2421074,120593.5,-0.00195648312,1
0.216774464,1.01392972,77730.875,0.98061651,-328.765076,77732.9297,-57.5814438,120593.281,-0.00195184594,1
0.217410997,1.01385927,77726.0156,0.997478843,-459.736328,77725.3125,-57.4243202,120588.586,-0.0019438751,1
0.218045712,1.01379871,77722.9219,1.0333792,-590.200439,77718.7188,-57.288414,120583.656,-0.00193562941,1
0.21868217,1.01373363,77720.3438,1.08332705,-721.168152,77711.8125,-57.0110626,120578.586,-0.00192735461,1
0.219318599,1.0136981,77721.5938,1.1613369,-851.991699,77707.9844,-56.8612556,120571.695,-0.00191742333,1
0.219954953,1.01374316,77731.8438,1.28707719,-982.29126,77712.4531,-56.9170914,120560.438,-0.0019033209,1
0.220591277,1.01383901,77748.1016,1.44124687,-1112.21777,77722.1875,-57.0232468,120546.617,-0.0018866756,1
0.221227601,1.01393509,77765.1875,1.60018253,-1242.10449,77731.9688,-57.1189804,120532.773,-0.00187000178,1
0.221863896,1.01403165,77783.1016,1.76368165,-1371.97437,77741.7969,-57.2051163,120518.875,-0.00185327826,1
0.222500175,1.01417518,77806.9531,1.93760324,-1502.74927,77756.6953,-57.2236214,120501.297,-0.00183382991,1
0.223136619,1.01439047,77839.2344,2.13919187,-1634.92346,77779.1094,-57.5268822,120477.68,-0.00181015674,1
0.223772645,1.01463223,77875.2422,2.34388924,-1767.41772,77804.3984,-57.7193146,120452.016,-0.00178496377,1
0.224407643,1.01488376,77913.1563,2.53174973,-1899.52832,77830.7813,-57.4733887,120427.156,-0.00175981084,1
0.225043595,1.0151329,77951.625,2.73915529,-2031.79236,77856.8828,-57.6026573,120401.117,-0.00173423835,1
0.225680113,1.01543081,77996.4219,2.95820475,-2164.78271,77888.3281,-57.8937988,120369,-0.00170500751,1
0.226315811,1.01579797,78049.6094,3.17101574,-2298.18311,77927.2031,-58.0177345,120331.234,-0.0016718111,1
0.22695145,1.01617467,78104.7188,3.38622284,-2431.52588,77967.1328,-58.1634293,120292.313,-0.00163787627,1
0.227587074,1.01655149,78160.7188,3.60175586,-2564.65186,78007.0781,-58.293045,120253.469,-0.00160393957,1
0.228222609,1.01694179,78219.1797,3.80277538,-2697.60791,78048.6094,-58.2118149,120213.172,-0.00156895258,1
0.228857905,1.01738596,78285.0625,3.94210005,-2830.52393,78096.5781,-57.3198242,120166.695,-0.00152967568,1
0.229493022,1.01787376,78357.125,4.02728367,-2963.33325,78149.7188,-55.7877197,120115.219,-0.00148693076,1
0.230128109,1.01836407,78430.3594,4.10108185,-3095.87402,78203.1563,-54.2308807,120063.453,-0.00144395675,1
0.230763167,1.01885414,78504.4531,4.16643238,-3228.13135,78256.5781,-52.6908646,120011.734,-0.0014009804,1
0.231398091,1.0193789,78583.1484,4.23080111,-3360.15405,78313.6406,-51.2754173,119956.703,-0.00135594036,1
0.232032672,1.01998246,78671.1719,4.30481434,-3491.98657,78378.9844,-50.1259003,119894.109,-0.00130623812,1
0.232667059,1.02062988,78764.8047,4.38360786,-3623.53711,78448.9375,-49.1403275,119827.305,-0.00125392783,1
0.233301431,1.02127695,78859.3125,4.45949697,-3754.71802,78518.8438,-48.1853256,119760.531,-0.00120160868,1
0.233935624,1.02192461,78954.7969,4.53212023,-3885.50293,78588.8359,-47.2542114,119693.656,-0.00114920666,1
0.234568506,1.02261662,79056.2891,4.5978508,-4016.0188,78663.75,-46.3031998,119621.234,-0.00109351054,1
0.235199422,1.02337301,79166.0781,4.65458393,-4146.26709,78745.8125,-45.3100891,119540.773,-0.00103306049,1
0.235829502,1.02415025,79279.1719,4.70568562,-4276.06543,78830.2031,-44.3171959,119457.781,-0.000971065019,1
0.236459583,1.02492714,79393.1875,4.75384378,-4405.38428,78914.5469,-43.3531303,119374.891,-0.000909062859,1
0.237089947,1.02571106,79508.9375,4.79748154,-4534.18408,78999.6719,-42.4006653,119291.25,-0.000846497773,1
0.237721056,1.02656198,79633.0859,4.81111813,-4661.61719,79092.2344,-41.2470245,119200.602,-0.000779146445,1
0.238353014,1.02748585,79766.3203,4.78951073,-4787.56934,79192.875,-39.8599625,119102.453,-0.000706631399,1
0.238985315,1.02842319,79901.9922,4.75618267,-4912.82617,79294.9922,-38.4490433,119003.164,-0.000633180432,1
0.239617616,1.02936077,80038.6563,4.71610641,-5037.48047,79397.125,-37.0587387,118904.125,-0.000559731037,1
